Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 22:24:40,10.3,4069,0
0,,,
0,,,
0,,,
2023-11-22 22:24:43,28.54,4358,0
0,,,
0,,,
0,,,
2023-11-22 22:24:47,24.94,4129,0
0,,,
0,,,
0,,,
2023-11-22 22:24:51,4.75,4402,0
0,,,
0,,,
0,,,
2023-11-22 22:24:54,4,4414,0
0,,,
0,,,
0,,,
2023-11-22 22:24:58,1.52,4434,0
0,,,
0,,,
0,,,
2023-11-22 22:25:01,1.76,4408,0
0,,,
0,,,
0,,,
2023-11-22 22:25:05,1.02,4414,0
0,,,
0,,,
0,,,
2023-11-22 22:25:09,1.76,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:25:12,2.52,4409,0
0,,,
0,,,
0,,,
2023-11-22 22:25:16,1.27,4392,0
0,,,
0,,,
0,,,
2023-11-22 22:25:20,3.03,4403,0
0,,,
0,,,
0,,,
2023-11-22 22:25:23,2.26,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:25:27,3.54,4406,0
0,,,
0,,,
0,,,
2023-11-22 22:25:30,2.04,4390,0
0,,,
0,,,
0,,,
2023-11-22 22:25:34,2.28,4394,0
0,,,
0,,,
0,,,
2023-11-22 22:25:38,1.51,4382,0
0,,,
0,,,
0,,,
2023-11-22 22:25:41,3.03,4393,0
0,,,
0,,,
0,,,
2023-11-22 22:25:45,1.01,4411,0
0,,,
0,,,
0,,,
2023-11-22 22:25:49,1.26,4394,0
0,,,
0,,,
0,,,
2023-11-22 22:25:52,2.02,4398,0
0,,,
0,,,
0,,,
2023-11-22 22:25:56,2.51,4410,0
0,,,
24.66,,,
0,,,
2023-11-22 22:26:00,5.04,4435,0
0,,,
0,,,
0,,,
2023-11-22 22:26:03,2.49,4444,0
0,,,
0,,,
0,,,
2023-11-22 22:26:07,2.55,4455,0
0,,,
0,,,
0,,,
2023-11-22 22:26:10,1.02,4437,0
0,,,
35.33,,,
0,,,
2023-11-22 22:26:14,3.26,4442,0
0,,,
0,,,
0,,,
2023-11-22 22:26:18,2.01,4399,0
0,,,
0,,,
0,,,
2023-11-22 22:26:21,2.53,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:26:25,1.01,4414,0
0,,,
0,,,
0,,,
2023-11-22 22:26:29,1.78,4414,0
0,,,
0,,,
0,,,
2023-11-22 22:26:32,2.53,4415,0
0,,,
0,,,
0,,,
2023-11-22 22:26:36,2.53,4422,0
0,,,
0,,,
0,,,
2023-11-22 22:26:40,1.52,4402,0
0,,,
0,,,
0,,,
2023-11-22 22:26:43,1.27,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:26:47,1.52,4399,0
0,,,
0,,,
0,,,
2023-11-22 22:26:50,3.78,4406,0
0,,,
0,,,
0,,,
2023-11-22 22:26:54,2.02,4412,0
0,,,
0,,,
0,,,
2023-11-22 22:26:58,2.01,4404,0
0,,,
0,,,
0,,,
2023-11-22 22:27:01,2.78,4414,0
0,,,
38.18,,,
0,,,
2023-11-22 22:27:05,2.02,4417,0
0,,,
0,,,
0,,,
2023-11-22 22:27:09,1.51,4400,0
0,,,
0,,,
0,,,
2023-11-22 22:27:12,2.27,4404,0
0,,,
0,,,
0,,,
2023-11-22 22:27:16,2.53,4404,0
0,,,
0,,,
0,,,
2023-11-22 22:27:19,5.06,4396,0
0,,,
0,,,
0,,,
2023-11-22 22:27:23,3.03,4397,0
0,,,
0,,,
0,,,
2023-11-22 22:27:27,1.77,4397,0
0,,,
0,,,
0,,,
2023-11-22 22:27:30,1.26,4397,0
0,,,
0,,,
0,,,
2023-11-22 22:27:34,3.03,4380,0
0,,,
0,,,
0,,,
2023-11-22 22:27:37,1.77,4364,0
0,,,
0,,,
0,,,
2023-11-22 22:27:41,4.26,4377,0
0,,,
0,,,
0,,,
2023-11-22 22:27:45,2.27,4381,0
0,,,
0,,,
0,,,
2023-11-22 22:27:48,1.76,4367,0
0,,,
0,,,
0,,,
2023-11-22 22:27:52,2.26,4400,0
0,,,
0,,,
0,,,
2023-11-22 22:27:56,1.76,4386,0
0,,,
0,,,
0,,,
2023-11-22 22:27:59,1.52,4392,0
0,,,
0,,,
0,,,
2023-11-22 22:28:03,1.77,4384,0
0,,,
0,,,
0,,,
2023-11-22 22:28:07,1.27,4393,0
0,,,
0,,,
0,,,
2023-11-22 22:28:10,1.02,4397,0
0,,,
0,,,
0,,,
2023-11-22 22:28:14,1.02,4398,0
0,,,
0,,,
0,,,
2023-11-22 22:28:17,2.01,4405,0
0,,,
0,,,
0,,,
2023-11-22 22:28:21,1.26,4395,0
0,,,
0,,,
0,,,
2023-11-22 22:28:25,3.27,4393,0
0,,,
0,,,
0,,,
2023-11-22 22:28:28,2.27,4393,0
0,,,
0,,,
0,,,
2023-11-22 22:28:32,1.02,4389,0
0,,,
0,,,
0,,,
2023-11-22 22:28:35,3.54,4379,0
0,,,
0,,,
0,,,
2023-11-22 22:28:39,2.27,4386,0
0,,,
0,,,
0,,,
2023-11-22 22:28:43,1.26,4359,0
0,,,
0,,,
0,,,
2023-11-22 22:28:46,1.77,4367,0
0,,,
0,,,
0,,,
2023-11-22 22:28:50,3.72,4388,0
0,,,
0,,,
0,,,
2023-11-22 22:28:54,1.26,4396,0
0,,,
0,,,
0,,,
2023-11-22 22:28:57,2.77,4403,0
0,,,
0,,,
0,,,
2023-11-22 22:29:01,2.27,4392,0
0,,,
0,,,
0,,,
2023-11-22 22:29:04,2.53,4380,0
0,,,
0,,,
0,,,
2023-11-22 22:29:08,3.26,4369,0
0,,,
0,,,
0,,,
2023-11-22 22:29:12,1.52,4383,0
0,,,
0,,,
0,,,
2023-11-22 22:29:15,1.52,4385,0
0,,,
0,,,
0,,,
2023-11-22 22:29:19,5.06,4379,0
0,,,
0,,,
0,,,
2023-11-22 22:29:23,2.51,4365,0
0,,,
0,,,
0,,,
2023-11-22 22:29:26,3.27,4373,0
0,,,
0,,,
0,,,
2023-11-22 22:29:30,2.27,4373,0
0,,,
0,,,
0,,,
2023-11-22 22:29:33,1.51,4030,0
0,,,
0,,,
0,,,
AVERAGE,2.97341463414634,4386.06097560976,0
