Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 22:31:14,7.07,4100,0
0,,,
0,,,
0,,,
2023-11-22 22:31:18,6.06,4086,0
0,,,
0,,,
0,,,
2023-11-22 22:31:21,0.76,4301,0
0,,,
0,,,
0,,,
2023-11-22 22:31:25,1.52,4308,0
0,,,
0,,,
0,,,
2023-11-22 22:31:29,3.51,4298,0
0,,,
0,,,
0,,,
2023-11-22 22:31:32,1.26,4309,0
0,,,
0,,,
0,,,
2023-11-22 22:31:36,2.33,4313,0
0,,,
0,,,
0,,,
2023-11-22 22:31:40,7.46,4328,0
0,,,
0,,,
0,,,
2023-11-22 22:31:43,0.51,4313,0
0,,,
0,,,
0,,,
2023-11-22 22:31:47,4.11,4316,0
0,,,
0,,,
0,,,
2023-11-22 22:31:51,5.64,4315,0
0,,,
0,,,
0,,,
2023-11-22 22:31:55,5.34,4233,0
0,,,
0,,,
0,,,
2023-11-22 22:31:58,6.94,4227,0
0,,,
0,,,
0,,,
2023-11-22 22:32:02,1.54,4232,0
0,,,
0,,,
0,,,
2023-11-22 22:32:06,4.91,4241,0
0,,,
0,,,
0,,,
2023-11-22 22:32:09,2.25,4228,0
0,,,
0,,,
0,,,
2023-11-22 22:32:13,1.5,4236,0
0,,,
0,,,
0,,,
2023-11-22 22:32:17,1.01,4245,0
0,,,
0,,,
0,,,
2023-11-22 22:32:20,2.01,4228,0
0,,,
0,,,
0,,,
2023-11-22 22:32:24,4.37,4218,0
0,,,
0,,,
0,,,
2023-11-22 22:32:27,1.01,4232,0
0,,,
0,,,
0,,,
2023-11-22 22:32:31,2.51,4240,0
0,,,
0,,,
0,,,
2023-11-22 22:32:35,1.25,4243,0
0,,,
0,,,
0,,,
2023-11-22 22:32:38,1.51,4225,0
0,,,
0,,,
0,,,
2023-11-22 22:32:42,7.95,4231,0
0,,,
0,,,
0,,,
2023-11-22 22:32:46,3.1,4219,0
0,,,
0,,,
0,,,
2023-11-22 22:32:49,9.34,4232,0
0,,,
0,,,
0,,,
2023-11-22 22:32:53,6.55,4244,0
0,,,
0,,,
0,,,
2023-11-22 22:32:57,2.76,4237,0
0,,,
0,,,
0,,,
2023-11-22 22:33:00,1.76,4248,0
0,,,
0,,,
0,,,
2023-11-22 22:33:04,4.79,4235,0
0,,,
0,,,
0,,,
2023-11-22 22:33:07,1.52,4235,0
0,,,
0,,,
0,,,
2023-11-22 22:33:11,2.81,4225,0
0,,,
0,,,
0,,,
2023-11-22 22:33:15,5.41,4235,0
0,,,
0,,,
0,,,
2023-11-22 22:33:18,1.26,4224,0
0,,,
0,,,
0,,,
2023-11-22 22:33:22,3.05,4238,0
0,,,
0,,,
0,,,
2023-11-22 22:33:25,2.26,4226,0
0,,,
0,,,
0,,,
2023-11-22 22:33:29,2.25,4234,0
0,,,
0,,,
0,,,
2023-11-22 22:33:33,2.28,4237,0
0,,,
0,,,
0,,,
2023-11-22 22:33:36,1.76,4237,0
0,,,
0,,,
0,,,
2023-11-22 22:33:40,2.02,4239,0
0,,,
0,,,
0,,,
2023-11-22 22:33:43,1.77,4244,0
0,,,
0,,,
0,,,
2023-11-22 22:33:47,2.53,4221,0
0,,,
0,,,
0,,,
2023-11-22 22:33:51,1.51,4235,0
0,,,
0,,,
0,,,
2023-11-22 22:33:54,2.01,4221,0
0,,,
0,,,
0,,,
2023-11-22 22:33:58,3,4229,0
0,,,
0,,,
0,,,
2023-11-22 22:34:02,2.27,4229,0
0,,,
0,,,
0,,,
2023-11-22 22:34:05,1.76,4208,0
0,,,
0,,,
0,,,
2023-11-22 22:34:09,2.74,4219,0
0,,,
0,,,
0,,,
2023-11-22 22:34:12,2.03,4226,0
0,,,
0,,,
0,,,
2023-11-22 22:34:16,1.75,4214,0
0,,,
0,,,
0,,,
2023-11-22 22:34:20,2.99,4222,0
0,,,
0,,,
0,,,
2023-11-22 22:34:23,3.27,4211,0
0,,,
0,,,
0,,,
2023-11-22 22:34:27,1.26,4219,0
0,,,
0,,,
0,,,
2023-11-22 22:34:30,1.51,4221,0
0,,,
0,,,
0,,,
2023-11-22 22:34:34,2.28,4227,0
0,,,
0,,,
0,,,
2023-11-22 22:34:38,2.76,4220,0
0,,,
0,,,
0,,,
2023-11-22 22:34:41,2.52,4223,0
0,,,
0,,,
0,,,
2023-11-22 22:34:45,1.27,4210,0
0,,,
0,,,
0,,,
2023-11-22 22:34:48,2.75,4214,0
0,,,
0,,,
0,,,
2023-11-22 22:34:52,3.27,4233,0
0,,,
0,,,
0,,,
2023-11-22 22:34:56,5.58,4242,0
0,,,
0,,,
0,,,
2023-11-22 22:34:59,1.27,4232,0
0,,,
0,,,
0,,,
2023-11-22 22:35:03,2.76,4214,0
0,,,
0,,,
0,,,
2023-11-22 22:35:07,1.51,4225,0
0,,,
0,,,
0,,,
2023-11-22 22:35:10,1.51,4213,0
0,,,
0,,,
0,,,
2023-11-22 22:35:14,3.53,4220,0
0,,,
0,,,
0,,,
2023-11-22 22:35:17,2.01,4225,0
0,,,
0,,,
0,,,
2023-11-22 22:35:21,1.26,4227,0
0,,,
0,,,
0,,,
2023-11-22 22:35:25,1.26,4232,0
0,,,
0,,,
0,,,
2023-11-22 22:35:28,1.26,4217,0
0,,,
0,,,
0,,,
2023-11-22 22:35:32,1.51,4210,0
0,,,
0,,,
0,,,
2023-11-22 22:35:35,3.53,4219,0
0,,,
0,,,
0,,,
2023-11-22 22:35:39,3.51,4227,0
0,,,
0,,,
0,,,
2023-11-22 22:35:43,1.26,4229,0
0,,,
0,,,
0,,,
2023-11-22 22:35:46,1.27,4235,0
0,,,
0,,,
0,,,
2023-11-22 22:35:50,5.76,4245,0
0,,,
0,,,
0,,,
2023-11-22 22:35:53,2.01,4226,0
0,,,
0,,,
0,,,
2023-11-22 22:35:57,20.85,4245,0
0,,,
0,,,
0,,,
2023-11-22 22:36:01,2.51,4262,0
0,,,
0,,,
0,,,
2023-11-22 22:36:04,2.76,4254,0
0,,,
0,,,
0,,,
2023-11-22 22:36:08,1.52,4257,0
0,,,
0,,,
0,,,
2023-11-22 22:36:12,1.01,4261,0
0,,,
0,,,
0,,,
2023-11-22 22:36:15,2.02,4242,0
0,,,
0,,,
0,,,
2023-11-22 22:36:19,2.02,4222,0
0,,,
84.06,,,
0,,,
2023-11-22 22:36:22,2.02,4008,0
0,,,
0,,,
0,,,
2023-11-22 22:36:26,1.53,3985,0
0,,,
0,,,
0,,,
AVERAGE,2.9832183908046,4230.01149425287,0
