Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 22:40:27,7.85,4024,0
0,,,
0,,,
0,,,
2023-11-22 22:40:31,27.78,4314,0
0,,,
0,,,
0,,,
2023-11-22 22:40:35,24.75,4094,0
0,,,
0,,,
0,,,
2023-11-22 22:40:38,5.03,4347,0
0,,,
0,,,
0,,,
2023-11-22 22:40:42,4.26,4360,0
0,,,
0,,,
0,,,
2023-11-22 22:40:45,4.02,4361,0
0,,,
0,,,
0,,,
2023-11-22 22:40:49,13.82,4354,0
0,,,
0,,,
0,,,
2023-11-22 22:40:53,2.28,4364,0
0,,,
0,,,
0,,,
2023-11-22 22:40:56,10.53,4373,0
0,,,
0,,,
0,,,
2023-11-22 22:41:00,3.54,4380,0
0,,,
0,,,
0,,,
2023-11-22 22:41:04,3.02,4385,0
0,,,
0,,,
0,,,
2023-11-22 22:41:07,2.28,4388,0
0,,,
0,,,
0,,,
2023-11-22 22:41:11,1.02,4377,0
0,,,
0,,,
0,,,
2023-11-22 22:41:14,2.53,4354,0
0,,,
0,,,
0,,,
2023-11-22 22:41:18,1.51,4357,0
0,,,
0,,,
0,,,
2023-11-22 22:41:22,1.26,4341,0
0,,,
0,,,
0,,,
2023-11-22 22:41:25,3.53,4335,0
0,,,
0,,,
0,,,
2023-11-22 22:41:29,2.76,4346,0
0,,,
0,,,
0,,,
2023-11-22 22:41:33,2.26,4356,0
0,,,
12.9,,,
0,,,
2023-11-22 22:41:36,1.27,4356,0
0,,,
0,,,
0,,,
2023-11-22 22:41:40,2.76,4359,0
0,,,
0,,,
0,,,
2023-11-22 22:41:43,3.25,4366,0
0,,,
0,,,
0,,,
2023-11-22 22:41:47,2.75,4346,0
0,,,
0,,,
0,,,
2023-11-22 22:41:51,3.52,4360,0
0,,,
0,,,
0,,,
2023-11-22 22:41:54,3.53,4361,0
0,,,
0,,,
0,,,
2023-11-22 22:41:58,1.27,4371,0
0,,,
0,,,
0,,,
2023-11-22 22:42:02,2.77,4358,0
0,,,
0,,,
0,,,
2023-11-22 22:42:05,3.27,4346,0
0,,,
0,,,
0,,,
2023-11-22 22:42:09,1.51,4355,0
0,,,
0,,,
0,,,
2023-11-22 22:42:12,2,4357,0
0,,,
0,,,
0,,,
2023-11-22 22:42:16,1.27,4359,0
0,,,
0,,,
0,,,
2023-11-22 22:42:20,4.77,4345,0
0,,,
0,,,
0,,,
2023-11-22 22:42:23,3.52,4348,0
0,,,
0,,,
0,,,
2023-11-22 22:42:27,2.27,4358,0
0,,,
0,,,
0,,,
2023-11-22 22:42:30,1.26,4362,0
0,,,
0,,,
0,,,
2023-11-22 22:42:34,1.52,4345,0
0,,,
0,,,
0,,,
2023-11-22 22:42:38,3.26,4356,0
0,,,
0,,,
0,,,
2023-11-22 22:42:41,1.02,4325,0
0,,,
0,,,
0,,,
2023-11-22 22:42:45,2.02,4309,0
0,,,
0,,,
0,,,
2023-11-22 22:42:49,1.76,4321,0
0,,,
0,,,
0,,,
2023-11-22 22:42:52,1.26,4348,0
0,,,
0,,,
0,,,
2023-11-22 22:42:56,4.26,4349,0
0,,,
0,,,
0,,,
2023-11-22 22:43:00,2.76,4340,0
0,,,
0,,,
0,,,
2023-11-22 22:43:03,2.01,4330,0
0,,,
0,,,
0,,,
2023-11-22 22:43:07,3.52,4340,0
0,,,
0,,,
0,,,
2023-11-22 22:43:10,1.02,4343,0
0,,,
0,,,
0,,,
2023-11-22 22:43:14,1.51,4354,0
0,,,
0,,,
0,,,
2023-11-22 22:43:18,1.27,4318,0
0,,,
0,,,
0,,,
2023-11-22 22:43:21,6.77,4311,0
0,,,
0,,,
0,,,
2023-11-22 22:43:25,2.01,4316,0
0,,,
0,,,
0,,,
2023-11-22 22:43:29,2.51,4328,0
0,,,
0,,,
0,,,
2023-11-22 22:43:32,2.27,4309,0
0,,,
0,,,
0,,,
2023-11-22 22:43:36,1.77,4314,0
0,,,
0,,,
0,,,
2023-11-22 22:43:39,3.27,4322,0
0,,,
0,,,
0,,,
2023-11-22 22:43:43,2.01,4324,0
0,,,
0,,,
0,,,
2023-11-22 22:43:47,1.51,4334,0
0,,,
0,,,
0,,,
2023-11-22 22:43:50,2.74,4338,0
0,,,
0,,,
0,,,
2023-11-22 22:43:54,2.25,4340,0
0,,,
0,,,
0,,,
2023-11-22 22:43:58,2.28,4347,0
0,,,
0,,,
0,,,
2023-11-22 22:44:01,1.02,4331,0
0,,,
0,,,
0,,,
2023-11-22 22:44:05,1.76,4319,0
0,,,
0,,,
0,,,
2023-11-22 22:44:08,3.01,4330,0
0,,,
0,,,
0,,,
2023-11-22 22:44:12,2.03,4331,0
0,,,
0,,,
0,,,
2023-11-22 22:44:16,2.52,4341,0
0,,,
0,,,
0,,,
2023-11-22 22:44:19,6.67,4325,0
0,,,
0,,,
0,,,
2023-11-22 22:44:23,2.01,4333,0
0,,,
0,,,
0,,,
2023-11-22 22:44:27,1.75,4323,0
0,,,
0,,,
0,,,
2023-11-22 22:44:30,2.02,4326,0
0,,,
0,,,
0,,,
2023-11-22 22:44:34,3.5,4308,0
0,,,
0,,,
0,,,
2023-11-22 22:44:37,2.01,4317,0
0,,,
0,,,
0,,,
2023-11-22 22:44:41,2.25,4303,0
0,,,
0,,,
0,,,
2023-11-22 22:44:45,8.21,4289,0
0,,,
0,,,
0,,,
2023-11-22 22:44:48,2.27,4301,0
0,,,
0,,,
0,,,
2023-11-22 22:44:52,2.02,4314,0
0,,,
0,,,
0,,,
2023-11-22 22:44:56,5.3,4329,0
0,,,
0,,,
0,,,
