Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 22:59:47,10.69,4023,0
0,,,
0,,,
0,,,
2023-11-22 22:59:50,8.01,4027,0
0,,,
0,,,
0,,,
2023-11-22 22:59:54,1.76,4252,0
0,,,
0,,,
0,,,
2023-11-22 22:59:57,2.01,4246,0
0,,,
0,,,
0,,,
2023-11-22 23:00:01,3.03,4230,0
0,,,
0,,,
0,,,
2023-11-22 23:00:05,1.76,4242,0
0,,,
0,,,
0,,,
2023-11-22 23:00:08,2.01,4241,0
0,,,
0,,,
0,,,
2023-11-22 23:00:12,2.73,4251,0
0,,,
0,,,
0,,,
2023-11-22 23:00:16,1.5,4234,0
0,,,
0,,,
0,,,
2023-11-22 23:00:19,1.53,4224,0
0,,,
0,,,
0,,,
2023-11-22 23:00:23,1.27,4234,0
0,,,
0,,,
0,,,
2023-11-22 23:00:26,1.52,4242,0
0,,,
0,,,
0,,,
2023-11-22 23:00:30,2.01,4250,0
0,,,
22.65,,,
0,,,
2023-11-22 23:00:34,2.01,4257,0
0,,,
0,,,
0,,,
2023-11-22 23:00:37,5.6,4238,0
0,,,
0,,,
0,,,
2023-11-22 23:00:41,1.77,4246,0
0,,,
0,,,
0,,,
2023-11-22 23:00:44,1.75,4244,0
0,,,
0,,,
0,,,
2023-11-22 23:00:48,1.76,4249,0
0,,,
0,,,
0,,,
2023-11-22 23:00:52,2.75,4260,0
0,,,
0,,,
0,,,
2023-11-22 23:00:55,2.26,4260,0
0,,,
0,,,
0,,,
2023-11-22 23:00:59,1.77,4271,0
0,,,
0,,,
0,,,
2023-11-22 23:01:02,2.77,4282,0
0,,,
0,,,
0,,,
2023-11-22 23:01:06,2.26,4282,0
0,,,
0,,,
0,,,
2023-11-22 23:01:10,1.75,4265,0
0,,,
0,,,
0,,,
2023-11-22 23:01:13,2.02,4256,0
0,,,
0,,,
0,,,
2023-11-22 23:01:17,2.5,4257,0
0,,,
0,,,
0,,,
2023-11-22 23:01:21,1.75,4266,0
0,,,
0,,,
0,,,
2023-11-22 23:01:24,48.24,4289,0
0,,,
151.38,,,
0,,,
2023-11-22 23:01:28,29.19,4338,0
0,,,
0,,,
0,,,
2023-11-22 23:01:32,28.93,4327,0
0,,,
28.06,,,
0,,,
2023-11-22 23:01:36,2.02,4351,0
0,,,
0,,,
0,,,
2023-11-22 23:01:39,2.79,4334,0
0,,,
0,,,
0,,,
2023-11-22 23:01:43,3.54,4348,0
0,,,
0,,,
0,,,
2023-11-22 23:01:47,7.02,4355,0
0,,,
0,,,
0,,,
2023-11-22 23:01:50,5.44,4347,0
0,,,
0,,,
0,,,
2023-11-22 23:01:54,11.55,4346,0
0,,,
0,,,
0,,,
2023-11-22 23:01:58,9.23,4338,0
0,,,
0,,,
0,,,
2023-11-22 23:02:01,5.12,4335,0
0,,,
0,,,
0,,,
2023-11-22 23:02:05,13.22,4306,0
0,,,
0,,,
0,,,
2023-11-22 23:02:09,8.61,4310,0
0,,,
0,,,
0,,,
2023-11-22 23:02:12,3.54,4319,0
0,,,
0,,,
0,,,
2023-11-22 23:02:16,0.51,4325,0
0,,,
0,,,
0,,,
2023-11-22 23:02:20,8.76,4315,0
0,,,
0,,,
0,,,
2023-11-22 23:02:24,7.07,4332,0
0,,,
0,,,
0,,,
2023-11-22 23:02:27,22.37,4341,0
0,,,
0,,,
0,,,
2023-11-22 23:02:31,6.23,4327,0
0,,,
0,,,
0,,,
2023-11-22 23:02:35,6.53,4318,0
0,,,
0,,,
0,,,
2023-11-22 23:02:39,5.36,4317,0
0,,,
0,,,
0,,,
2023-11-22 23:02:42,8.4,4311,0
0,,,
0,,,
0,,,
2023-11-22 23:02:46,2.54,4323,0
0,,,
0,,,
0,,,
2023-11-22 23:02:50,18.48,4331,0
0,,,
0,,,
0,,,
2023-11-22 23:02:53,4.35,4329,0
0,,,
55.61,,,
0,,,
2023-11-22 23:02:57,4.64,4322,0
0,,,
23.06,,,
0,,,
2023-11-22 23:03:01,15.98,4350,0
0,,,
19.1,,,
0,,,
2023-11-22 23:03:04,9.82,4362,0
0,,,
0,,,
0,,,
2023-11-22 23:03:08,4.16,4344,0
0,,,
0,,,
0,,,
2023-11-22 23:03:12,7.56,4331,0
0,,,
0,,,
0,,,
2023-11-22 23:03:16,20.21,4335,0
0,,,
0,,,
0,,,
2023-11-22 23:03:19,11.11,4356,0
0,,,
0,,,
0,,,
2023-11-22 23:03:23,10.77,4340,0
0,,,
0,,,
0,,,
2023-11-22 23:03:27,9.87,4339,0
0,,,
0,,,
0,,,
2023-11-22 23:03:31,5.15,4344,0
0,,,
0,,,
0,,,
2023-11-22 23:03:34,2.55,4323,0
0,,,
9.12,,,
0,,,
2023-11-22 23:03:38,7.73,4313,0
0,,,
0,,,
0,,,
2023-11-22 23:03:42,5.15,4319,0
0,,,
0,,,
0,,,
2023-11-22 23:03:45,1.82,4332,0
0,,,
0,,,
0,,,
2023-11-22 23:03:49,20.16,4316,0
0,,,
0,,,
0,,,
2023-11-22 23:03:53,2.02,4330,0
0,,,
0,,,
0,,,
2023-11-22 23:03:56,7.05,4314,0
0,,,
0,,,
0,,,
2023-11-22 23:04:00,10.05,4350,0
0,,,
0,,,
0,,,
2023-11-22 23:04:04,20.37,4348,0
0,,,
0,,,
0,,,
2023-11-22 23:04:08,14.54,4365,0
0,,,
0,,,
0,,,
2023-11-22 23:04:11,3.58,4336,0
0,,,
0,,,
0,,,
2023-11-22 23:04:15,11,4341,0
0,,,
0,,,
0,,,
2023-11-22 23:04:19,14.68,4356,0
0,,,
0,,,
0,,,
2023-11-22 23:04:23,5.33,4334,0
0,,,
0,,,
0,,,
2023-11-22 23:04:26,9.95,4340,0
0,,,
0,,,
0,,,
2023-11-22 23:04:30,15.98,4359,0
0,,,
0,,,
0,,,
2023-11-22 23:04:34,14.5,4313,0
0,,,
0,,,
0,,,
2023-11-22 23:04:37,4.88,4313,0
0,,,
0,,,
0,,,
2023-11-22 23:04:41,6.87,4097,0
0,,,
0,,,
0,,,
2023-11-22 23:04:45,9.44,4080,0
0,,,
0,,,
0,,,
AVERAGE,7.66475609756098,4294.42682926829,0
