Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 20:53:31,27.18,4167,0
0,,,
0,,,
0,,,
2023-11-22 20:53:34,4.03,4432,0
0,,,
0,,,
0,,,
2023-11-22 20:53:38,1.52,4457,0
0,,,
0,,,
0,,,
2023-11-22 20:53:42,34.58,4489,0
0,,,
0,,,
0,,,
2023-11-22 20:53:45,1.75,4486,0
0,,,
0,,,
0,,,
2023-11-22 20:53:49,5.01,4495,0
0,,,
0,,,
0,,,
2023-11-22 20:53:53,1.75,4497,0
0,,,
0,,,
0,,,
2023-11-22 20:53:56,0.51,4500,0
0,,,
0,,,
0,,,
2023-11-22 20:54:00,1.01,4499,2.86
0,,,
83.51,,,
0,,,
2023-11-22 20:54:04,4.3,4486,0
0,,,
0,,,
0,,,
2023-11-22 20:54:07,1.25,4498,0
0,,,
0,,,
0,,,
2023-11-22 20:54:11,1.25,4493,0
0,,,
0,,,
0,,,
2023-11-22 20:54:14,2.78,4503,0
0,,,
0,,,
0,,,
2023-11-22 20:54:18,3.27,4496,0
0,,,
0,,,
0,,,
2023-11-22 20:54:22,1.76,4505,0
0,,,
0,,,
0,,,
2023-11-22 20:54:25,1.26,4500,0
0,,,
0,,,
0,,,
2023-11-22 20:54:29,2.52,4505,0
0,,,
0,,,
0,,,
2023-11-22 20:54:33,1.27,4514,0
0,,,
0,,,
0,,,
2023-11-22 20:54:36,1.26,4501,0
0,,,
0,,,
0,,,
2023-11-22 20:54:40,0.51,4508,0
0,,,
0,,,
0,,,
2023-11-22 20:54:44,2.02,4488,0
0,,,
0,,,
0,,,
2023-11-22 20:54:47,0.25,4485,0
0,,,
0,,,
0,,,
2023-11-22 20:54:51,1.26,4496,0
0,,,
0,,,
0,,,
2023-11-22 20:54:54,2.53,4491,0
0,,,
0,,,
0,,,
2023-11-22 20:54:58,2.99,4508,0
0,,,
0,,,
0,,,
2023-11-22 20:55:02,0.51,4509,0
0,,,
0,,,
0,,,
2023-11-22 20:55:05,0.76,4505,0
0,,,
0,,,
0,,,
2023-11-22 20:55:09,3.28,4506,0
0,,,
0,,,
0,,,
2023-11-22 20:55:13,1.26,4514,0
0,,,
0,,,
0,,,
2023-11-22 20:55:16,0.5,4503,0
0,,,
0,,,
0,,,
2023-11-22 20:55:20,1.52,4510,0
0,,,
0,,,
0,,,
2023-11-22 20:55:24,1.75,4495,0
0,,,
0,,,
0,,,
2023-11-22 20:55:27,1.25,4517,0
0,,,
0,,,
0,,,
2023-11-22 20:55:31,1.01,4501,0
0,,,
0,,,
0,,,
2023-11-22 20:55:34,1.01,4518,0
0,,,
0,,,
0,,,
2023-11-22 20:55:38,2,4496,0
0,,,
0,,,
0,,,
2023-11-22 20:55:42,0.76,4485,0
0,,,
0,,,
0,,,
2023-11-22 20:55:45,1.78,4445,0
0,,,
0,,,
0,,,
2023-11-22 20:55:49,4.88,4407,0
0,,,
0,,,
0,,,
2023-11-22 20:55:53,1.75,4416,0
0,,,
0,,,
0,,,
2023-11-22 20:55:56,8.52,4423,0
0,,,
0,,,
0,,,
2023-11-22 20:56:00,2.01,4438,0
0,,,
0,,,
0,,,
2023-11-22 20:56:04,1.26,4442,0
0,,,
0,,,
0,,,
2023-11-22 20:56:07,1.52,4443,0
0,,,
0,,,
0,,,
2023-11-22 20:56:11,1.77,4431,0
0,,,
0,,,
0,,,
2023-11-22 20:56:15,2.25,4413,0
0,,,
0,,,
0,,,
2023-11-22 20:56:18,0.5,4431,0
0,,,
0,,,
0,,,
2023-11-22 20:56:22,1,4422,0
0,,,
0,,,
0,,,
2023-11-22 20:56:26,2.75,4410,0
0,,,
0,,,
0,,,
2023-11-22 20:56:29,2.01,4397,0
0,,,
0,,,
0,,,
2023-11-22 20:56:33,2.02,4409,0
0,,,
0,,,
0,,,
2023-11-22 20:56:37,1.76,4399,0
0,,,
0,,,
0,,,
2023-11-22 20:56:40,1.01,4405,0
0,,,
0,,,
0,,,
2023-11-22 20:56:44,1.51,4416,0
0,,,
0,,,
0,,,
2023-11-22 20:56:47,0.76,4402,0
0,,,
0,,,
0,,,
2023-11-22 20:56:51,1.01,4416,0
0,,,
0,,,
0,,,
2023-11-22 20:56:55,0.51,4419,0
0,,,
0,,,
0,,,
2023-11-22 20:56:58,1.01,4406,0
0,,,
0,,,
0,,,
2023-11-22 20:57:02,1.52,4394,0
0,,,
0,,,
0,,,
2023-11-22 20:57:06,0.51,4414,0
0,,,
0,,,
0,,,
2023-11-22 20:57:09,2.27,4403,0
0,,,
0,,,
0,,,
2023-11-22 20:57:13,2.02,4395,0
0,,,
0,,,
0,,,
2023-11-22 20:57:17,0.75,4415,0
0,,,
0,,,
0,,,
2023-11-22 20:57:20,1,4419,0
0,,,
0,,,
0,,,
2023-11-22 20:57:24,2.26,4424,0
0,,,
0,,,
0,,,
2023-11-22 20:57:27,2.02,4404,0
0,,,
0,,,
0,,,
2023-11-22 20:57:31,1.5,4416,0
0,,,
0,,,
0,,,
2023-11-22 20:57:35,1.01,4395,0
0,,,
0,,,
0,,,
2023-11-22 20:57:38,0.76,4409,0
0,,,
0,,,
0,,,
2023-11-22 20:57:42,1.01,4390,0
0,,,
0,,,
0,,,
2023-11-22 20:57:46,1.5,4408,0
0,,,
0,,,
0,,,
2023-11-22 20:57:49,5.82,4392,0
0,,,
0,,,
0,,,
2023-11-22 20:57:53,1.27,4368,0
0,,,
0,,,
0,,,
2023-11-22 20:57:57,1.76,4381,0
0,,,
0,,,
0,,,
2023-11-22 20:58:00,0.76,4376,0
0,,,
0,,,
0,,,
2023-11-22 20:58:04,2.26,4365,0
0,,,
0,,,
0,,,
2023-11-22 20:58:07,1.51,4360,0
0,,,
0,,,
0,,,
2023-11-22 20:58:11,1.01,4152,0
0,,,
0,,,
0,,,
AVERAGE,2.5325641025641,4442.66666666667,0.0366666666666667
