Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 21:14:09,26.43,4348,0
0,,,
0,,,
0,,,
2023-11-22 21:14:13,29.07,4630,0
0,,,
0,,,
0,,,
2023-11-22 21:14:16,19.69,4661,0
0,,,
0,,,
0,,,
2023-11-22 21:14:20,2.53,4658,0
0,,,
0,,,
0,,,
2023-11-22 21:14:24,0.5,4662,0
0,,,
0,,,
0,,,
2023-11-22 21:14:27,2.01,4660,0
0,,,
0,,,
0,,,
2023-11-22 21:14:31,1.51,4649,0
0,,,
0,,,
0,,,
2023-11-22 21:14:35,0.51,4634,0
0,,,
0,,,
0,,,
2023-11-22 21:14:38,2.02,4649,0
0,,,
0,,,
0,,,
2023-11-22 21:14:42,0.75,4639,0
0,,,
0,,,
0,,,
2023-11-22 21:14:46,0.76,4626,0
0,,,
0,,,
0,,,
2023-11-22 21:14:49,3.8,4634,0
0,,,
0,,,
0,,,
2023-11-22 21:14:53,1.77,4639,0
0,,,
0,,,
0,,,
2023-11-22 21:14:57,12.41,4661,0
0,,,
0,,,
0,,,
2023-11-22 21:15:00,1.51,4647,0
0,,,
0,,,
0,,,
2023-11-22 21:15:04,0.76,4655,0
0,,,
0,,,
0,,,
2023-11-22 21:15:07,1.51,4640,0
0,,,
0,,,
0,,,
2023-11-22 21:15:11,0.76,4634,0
0,,,
0,,,
0,,,
2023-11-22 21:15:15,2.02,4628,0
0,,,
0,,,
0,,,
2023-11-22 21:15:18,2.02,4641,0
0,,,
0,,,
0,,,
2023-11-22 21:15:22,1.01,4649,0
0,,,
0,,,
0,,,
2023-11-22 21:15:26,1.26,4656,0
0,,,
0,,,
0,,,
2023-11-22 21:15:29,2.77,4624,0
0,,,
0,,,
0,,,
2023-11-22 21:15:33,1.51,4614,0
0,,,
0,,,
0,,,
2023-11-22 21:15:37,0.76,4628,0
0,,,
0,,,
0,,,
2023-11-22 21:15:40,2.03,4637,0
0,,,
0,,,
0,,,
2023-11-22 21:15:44,1.01,4643,0
0,,,
0,,,
0,,,
2023-11-22 21:15:47,1,4636,0
0,,,
0,,,
0,,,
2023-11-22 21:15:51,1.26,4634,0
0,,,
0,,,
0,,,
2023-11-22 21:15:55,2,4642,0
0,,,
0,,,
0,,,
2023-11-22 21:15:58,1.51,4660,0
0,,,
0,,,
0,,,
2023-11-22 21:16:02,1.01,4674,0
0,,,
0,,,
0,,,
2023-11-22 21:16:06,1.25,4685,0
0,,,
0,,,
0,,,
2023-11-22 21:16:09,1.01,4644,0
0,,,
0,,,
0,,,
2023-11-22 21:16:13,2.76,4609,0
0,,,
0,,,
0,,,
2023-11-22 21:16:17,2.26,4624,0
0,,,
0,,,
0,,,
2023-11-22 21:16:20,2.02,4635,0
0,,,
0,,,
0,,,
2023-11-22 21:16:24,1.25,4621,0
0,,,
0,,,
0,,,
2023-11-22 21:16:28,1.5,4602,0
0,,,
0,,,
0,,,
2023-11-22 21:16:31,2.48,4609,0
0,,,
0,,,
0,,,
2023-11-22 21:16:35,1.26,4621,0
0,,,
0,,,
0,,,
2023-11-22 21:16:39,8.31,4641,0
0,,,
0,,,
0,,,
2023-11-22 21:16:42,0.75,4633,0
0,,,
0,,,
0,,,
2023-11-22 21:16:46,1.01,4636,0
0,,,
0,,,
0,,,
2023-11-22 21:16:49,7.56,4624,0
0,,,
0,,,
0,,,
2023-11-22 21:16:53,1.51,4614,0
0,,,
0,,,
0,,,
2023-11-22 21:16:57,0.75,4625,0
0,,,
0,,,
0,,,
2023-11-22 21:17:00,1.75,4626,0
0,,,
0,,,
0,,,
2023-11-22 21:17:04,0.25,4631,0
0,,,
0,,,
0,,,
2023-11-22 21:17:08,1.5,4612,0
0,,,
0,,,
0,,,
2023-11-22 21:17:11,2.03,4618,0
0,,,
0,,,
0,,,
2023-11-22 21:17:15,1.01,4534,0
0,,,
0,,,
0,,,
2023-11-22 21:17:19,1.76,4546,0
0,,,
0,,,
0,,,
2023-11-22 21:17:22,1.25,4546,0
0,,,
0,,,
0,,,
2023-11-22 21:17:26,0.51,4552,0
0,,,
0,,,
0,,,
2023-11-22 21:17:30,2,4559,0
0,,,
0,,,
0,,,
2023-11-22 21:17:33,1.75,4559,0
0,,,
0,,,
0,,,
2023-11-22 21:17:37,0.25,4511,0
0,,,
0,,,
0,,,
2023-11-22 21:17:40,0.75,4525,0
0,,,
0,,,
0,,,
2023-11-22 21:17:44,7.47,4531,0
0,,,
0,,,
0,,,
2023-11-22 21:17:48,10.51,4543,0
0,,,
0,,,
0,,,
2023-11-22 21:17:52,1,4553,0
0,,,
0,,,
0,,,
2023-11-22 21:17:55,1.25,4528,0
0,,,
0,,,
0,,,
2023-11-22 21:17:59,2.02,4533,0
0,,,
0,,,
0,,,
2023-11-22 21:18:03,2.27,4543,0
0,,,
0,,,
0,,,
2023-11-22 21:18:06,0.75,4544,0
0,,,
0,,,
0,,,
2023-11-22 21:18:10,3,4475,0
0,,,
0,,,
0,,,
2023-11-22 21:18:14,8.4,4457,0
0,,,
0,,,
0,,,
2023-11-22 21:18:17,1.26,4463,0
0,,,
0,,,
0,,,
2023-11-22 21:18:21,1.51,4223,0
0,,,
0,,,
0,,,
AVERAGE,3.13428571428571,4598.95714285714,0
