Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 21:21:02,26.82,4274,0
0,,,
0,,,
0,,,
2023-11-22 21:21:06,4.85,4517,0
0,,,
0,,,
0,,,
2023-11-22 21:21:10,7.52,4586,0
0,,,
0,,,
0,,,
2023-11-22 21:21:14,1.01,4604,0
0,,,
0,,,
0,,,
2023-11-22 21:21:17,1.02,4556,0
0,,,
0,,,
0,,,
2023-11-22 21:21:21,2.02,4568,0
0,,,
0,,,
0,,,
2023-11-22 21:21:24,0.76,4574,0
0,,,
0,,,
0,,,
2023-11-22 21:21:28,2.51,4578,0
0,,,
0,,,
0,,,
2023-11-22 21:21:32,1.01,4556,0
0,,,
0,,,
0,,,
2023-11-22 21:21:35,1.75,4544,0
0,,,
0,,,
0,,,
2023-11-22 21:21:39,0.75,4554,0
0,,,
0,,,
0,,,
2023-11-22 21:21:43,2.76,4573,0
0,,,
0,,,
0,,,
2023-11-22 21:21:46,13.37,4555,0
0,,,
0,,,
0,,,
2023-11-22 21:21:50,9.6,4639,0
0,,,
0,,,
0,,,
2023-11-22 21:21:54,2.78,4618,0
0,,,
0,,,
0,,,
2023-11-22 21:21:58,57.95,4624,0
0,,,
93.7,,,
0,,,
2023-11-22 21:22:02,23.04,4651,0
0,,,
295.59,,,
0,,,
2023-11-22 21:22:06,54.08,4691,34.86
0,,,
118.48,,,
0,,,
2023-11-22 21:22:10,25,4776,0
0,,,
0,,,
0,,,
2023-11-22 21:22:14,65.83,4852,0
0,,,
0,,,
0,,,
2023-11-22 21:22:18,4.87,4910,0
0,,,
0,,,
0,,,
2023-11-22 21:22:22,32.64,4917,0
0,,,
0,,,
0,,,
2023-11-22 21:22:25,34.11,4810,0
0,,,
0,,,
0,,,
2023-11-22 21:22:29,2.55,4831,0
0,,,
0,,,
0,,,
2023-11-22 21:22:33,3.26,4640,0
0,,,
0,,,
0,,,
2023-11-22 21:22:36,2.25,4629,0
0,,,
0,,,
0,,,
2023-11-22 21:22:40,2.25,4639,0
0,,,
0,,,
0,,,
2023-11-22 21:22:44,0.51,4640,0
0,,,
0,,,
0,,,
2023-11-22 21:22:47,1.26,4622,0
0,,,
0,,,
0,,,
2023-11-22 21:22:51,1.02,4629,0
0,,,
0,,,
0,,,
2023-11-22 21:22:55,0.76,4610,0
0,,,
0,,,
0,,,
2023-11-22 21:22:58,3.51,4614,0
0,,,
0,,,
0,,,
2023-11-22 21:23:02,0.76,4595,0
0,,,
0,,,
0,,,
2023-11-22 21:23:05,1.26,4597,0
0,,,
0,,,
0,,,
2023-11-22 21:23:09,2.02,4582,0
0,,,
0,,,
0,,,
2023-11-22 21:23:13,1.25,4552,0
0,,,
0,,,
0,,,
2023-11-22 21:23:16,1.26,4554,0
0,,,
0,,,
0,,,
2023-11-22 21:23:20,1.77,4555,0
0,,,
0,,,
0,,,
2023-11-22 21:23:24,0.75,4536,0
0,,,
0,,,
0,,,
2023-11-22 21:23:27,1.01,4542,0
0,,,
0,,,
0,,,
2023-11-22 21:23:31,11.81,4548,0
0,,,
0,,,
0,,,
2023-11-22 21:23:35,16.33,4540,0
0,,,
0,,,
0,,,
2023-11-22 21:23:38,1.76,4538,0
0,,,
0,,,
0,,,
2023-11-22 21:23:42,1.01,4553,0
0,,,
0,,,
0,,,
2023-11-22 21:23:46,3.5,4541,0
0,,,
0,,,
0,,,
2023-11-22 21:23:49,6.35,4536,0
0,,,
0,,,
0,,,
2023-11-22 21:23:53,1.25,4540,0
0,,,
0,,,
0,,,
2023-11-22 21:23:57,0.25,4548,0
0,,,
0,,,
0,,,
2023-11-22 21:24:00,1.01,4528,0
0,,,
0,,,
0,,,
2023-11-22 21:24:04,3.01,4545,0
0,,,
0,,,
0,,,
2023-11-22 21:24:08,0.51,4557,0
0,,,
0,,,
0,,,
2023-11-22 21:24:11,1.26,4558,0
0,,,
0,,,
0,,,
2023-11-22 21:24:15,1.51,4563,0
0,,,
0,,,
0,,,
2023-11-22 21:24:19,1.25,4542,0
0,,,
0,,,
0,,,
2023-11-22 21:24:22,2.26,4494,0
0,,,
0,,,
0,,,
2023-11-22 21:24:26,2.28,4476,0
0,,,
0,,,
0,,,
2023-11-22 21:24:30,11.31,4497,0
0,,,
0,,,
0,,,
2023-11-22 21:24:33,1.5,4505,0
0,,,
0,,,
0,,,
2023-11-22 21:24:37,3.27,4479,0
0,,,
0,,,
0,,,
2023-11-22 21:24:40,1.5,4489,0
0,,,
0,,,
0,,,
2023-11-22 21:24:44,1.5,4495,0
0,,,
0,,,
0,,,
2023-11-22 21:24:48,1.01,4505,0
0,,,
0,,,
0,,,
2023-11-22 21:24:51,1.52,4515,0
0,,,
0,,,
0,,,
2023-11-22 21:24:55,1.53,4495,0
0,,,
0,,,
0,,,
2023-11-22 21:24:59,1.25,4489,0
0,,,
0,,,
0,,,
2023-11-22 21:25:02,0.76,4499,0
0,,,
0,,,
0,,,
2023-11-22 21:25:06,0.51,4508,0
0,,,
0,,,
0,,,
2023-11-22 21:25:10,3.25,4503,0
0,,,
0,,,
0,,,
2023-11-22 21:25:13,4.55,4459,0
0,,,
0,,,
0,,,
